                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5923,                 2.5226,                 1.4634,                0.78475,                0.53623,                0.67559,                0.37643,                      0,                    inf,                      0,               0.070789,              0.0032456,              0.0032456
                      1,                 1.3938,                 1.0916,                 1.2711,                0.85536,                0.69581,                0.80693,                0.48248,                      0,                    inf,                      0,               0.040735,              0.0065247,              0.0065247
                      2,                 1.4406,                 1.0755,                 1.3057,                0.86811,                0.63235,                0.72082,                0.37763,                      0,                    inf,                      0,               0.010626,              0.0097487,              0.0097487
                      3,                 1.4373,                 1.1902,                 1.3187,                0.81065,                0.67647,                0.74379,                0.39385,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                      4,                 1.4308,                 1.0432,                 1.3032,                0.71505,                0.62739,                0.67134,                 0.3378,                      0,                    inf,                      0,              0.0097525,              0.0097525,              0.0097525
                      5,                 1.3861,                0.97476,                 1.2733,                0.76232,                0.75473,                0.76491,                0.37088,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                      6,                 1.4211,                 1.0355,                  1.266,                0.64607,                0.67647,                0.64006,                0.26358,                      0,                    inf,                      0,              0.0095875,              0.0095875,              0.0095875
                      7,                 1.3578,                0.93729,                 1.2518,                0.66083,                0.80882,                0.76308,                0.40106,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                      8,                 1.3615,                0.90674,                 1.2748,                0.81934,                0.70588,                0.75477,                0.36239,                      0,                    inf,                      0,              0.0094225,              0.0094225,              0.0094225
                      9,                 1.3443,                0.89803,                 1.2568,                0.77979,                0.72059,                0.76434,                0.35209,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     10,                 1.3424,                0.85975,                 1.2539,                0.66126,                0.77515,                0.66535,                0.32826,                      0,                    inf,                      0,              0.0092575,              0.0092575,              0.0092575
                     11,                 1.2796,                0.85164,                 1.2001,                0.83728,                 0.6811,                0.78629,                0.42142,                      0,                    inf,                      0,               0.009175,               0.009175,               0.009175
                     12,                 1.2595,                0.86152,                 1.2128,                0.65395,                0.72257,                0.64425,                0.30212,                      0,                    inf,                      0,              0.0090925,              0.0090925,              0.0090925
                     13,                 1.2607,                0.82698,                 1.2195,                0.73595,                0.58824,                0.66948,                 0.3545,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     14,                 1.2092,                0.79855,                 1.1735,                0.75759,                0.69118,                0.77606,                0.40271,                      0,                    inf,                      0,              0.0089275,              0.0089275,              0.0089275
                     15,                 1.1946,                0.77314,                 1.1737,                0.88837,                0.69118,                0.80458,                 0.4427,                      0,                    inf,                      0,               0.008845,               0.008845,               0.008845
                     16,                 1.1792,                 0.7519,                 1.1757,                0.79137,                0.66944,                0.68237,                0.39066,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                     17,                 1.1955,                0.72123,                 1.1758,                0.75589,                0.73529,                0.77233,                0.41658,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     18,                 1.1453,                0.73011,                 1.1431,                0.79796,                0.75513,                0.83096,                0.43134,                      0,                    inf,                      0,              0.0085975,              0.0085975,              0.0085975
                     19,                  1.148,                0.71238,                 1.1528,                0.93323,                0.76471,                0.85498,                0.45268,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     20,                 1.1208,                 0.7003,                 1.1298,                0.87853,                   0.75,                0.80515,                0.43986,                      0,                    inf,                      0,              0.0084325,              0.0084325,              0.0084325
                     21,                 1.0648,                 0.6619,                 1.0948,                0.87395,                0.72059,                0.81068,                 0.4439,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                     22,                 1.0714,                0.64848,                 1.1018,                0.75806,                0.73728,                0.75247,                0.39829,                      0,                    inf,                      0,              0.0082675,              0.0082675,              0.0082675
                     23,                 1.0615,                 0.6517,                 1.0922,                0.88739,                   0.75,                0.82238,                0.38832,                      0,                    inf,                      0,               0.008185,               0.008185,               0.008185
                     24,                 1.0146,                0.61982,                 1.0756,                0.82936,                0.76471,                0.80665,                0.39979,                      0,                    inf,                      0,              0.0081025,              0.0081025,              0.0081025
                     25,                 1.0301,                0.65493,                 1.0907,                0.87263,                0.76471,                0.85312,                0.44867,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     26,                 1.0059,                0.62924,                 1.0491,                0.82211,                 0.8156,                0.84053,                0.46149,                      0,                    inf,                      0,              0.0079375,              0.0079375,              0.0079375
                     27,                 1.0141,                0.62471,                 1.0864,                0.85035,                0.83565,                0.86365,                0.47276,                      0,                    inf,                      0,               0.007855,               0.007855,               0.007855
                     28,                0.97246,                0.59953,                 1.0446,                0.87093,                0.79385,                0.82421,                0.43249,                      0,                    inf,                      0,              0.0077725,              0.0077725,              0.0077725
                     29,                0.93995,                0.57969,                 1.0398,                0.86617,                0.79412,                0.82297,                0.43809,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                     30,                0.92806,                0.55781,                 1.0363,                0.83784,                0.75988,                0.81311,                 0.4451,                      0,                    inf,                      0,              0.0076075,              0.0076075,              0.0076075
                     31,                0.92946,                0.57004,                 1.0222,                0.80207,                0.83436,                0.84961,                0.47728,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     32,                  0.896,                0.55976,                  1.028,                0.83448,                 0.8156,                0.87734,                0.47227,                      0,                    inf,                      0,              0.0074425,              0.0074425,              0.0074425
                     33,                0.89204,                0.57052,                 1.0241,                0.89806,                0.85294,                0.89346,                0.45936,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     34,                0.87815,                 0.5462,                 1.0206,                0.89934,                0.73529,                0.83364,                 0.4541,                      0,                    inf,                      0,              0.0072775,              0.0072775,              0.0072775
                     35,                0.86177,                0.53974,                0.99683,                0.84964,                0.80882,                0.86699,                0.45287,                      0,                    inf,                      0,               0.007195,               0.007195,               0.007195
                     36,                0.84985,                0.54328,                 1.0006,                0.89172,                0.80882,                0.88863,                0.47223,                      0,                    inf,                      0,              0.0071125,              0.0071125,              0.0071125
                     37,                0.81558,                0.50356,                0.98128,                0.84555,                0.88562,                0.90609,                 0.4807,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     38,                0.83548,                0.52225,                0.98976,                0.86129,                0.79412,                0.85289,                0.44605,                      0,                    inf,                      0,              0.0069475,              0.0069475,              0.0069475
                     39,                0.81001,                0.49581,                 1.0024,                 0.8978,                0.77517,                0.83243,                0.42961,                      0,                    inf,                      0,               0.006865,               0.006865,               0.006865
                     40,                0.81302,                0.51326,                 0.9916,                0.89772,                 0.7745,                0.84781,                0.45682,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     41,                0.80806,                0.50064,                0.97671,                 0.8725,                0.80513,                0.84831,                0.47567,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                     42,                0.77906,                0.48343,                0.96288,                0.87301,                0.73529,                0.82532,                0.46441,                      0,                    inf,                      0,              0.0066175,              0.0066175,              0.0066175
                     43,                0.77661,                 0.4879,                0.96147,                0.94415,                   0.75,                0.84919,                0.47839,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     44,                0.78136,                0.48656,                0.96054,                0.76928,                   0.75,                0.80618,                0.45126,                      0,                    inf,                      0,              0.0064525,              0.0064525,              0.0064525
                     45,                0.77726,                0.47841,                0.97621,                0.89644,                0.76378,                0.88311,                0.46939,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                     46,                 0.7468,                0.46397,                0.95822,                0.88214,                0.79412,                0.85744,                0.47067,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     47,                 0.7066,                0.45647,                0.95623,                0.84605,                0.73529,                0.81493,                0.47358,                      0,                    inf,                      0,               0.006205,               0.006205,               0.006205
                     48,                0.73458,                0.46149,                0.95769,                0.91541,                0.82353,                0.89249,                0.51486,                      0,                    inf,                      0,              0.0061225,              0.0061225,              0.0061225
                     49,                0.72805,                0.46035,                0.95849,                0.92297,                   0.75,                0.86662,                0.48851,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     50,                0.71512,                0.45708,                0.95651,                0.85858,                0.80356,                0.86376,                0.46703,                      0,                    inf,                      0,              0.0059575,              0.0059575,              0.0059575
                     51,                0.71135,                0.45047,                0.94273,                0.87159,                0.73529,                0.81011,                0.47538,                      0,                    inf,                      0,               0.005875,               0.005875,               0.005875
                     52,                0.67597,                0.43786,                0.92931,                  0.909,                0.73449,                0.86252,                0.49423,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     53,                 0.6776,                0.42273,                 0.9463,                0.90625,                0.77941,                0.89415,                0.51969,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                     54,                0.67473,                0.43241,                 0.9396,                0.85761,                0.79719,                0.88882,                0.54148,                      0,                    inf,                      0,              0.0056275,              0.0056275,              0.0056275
                     55,                0.63835,                0.40561,                0.91553,                0.88003,                0.77941,                0.82669,                0.53387,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     56,                0.63828,                0.40685,                 0.9216,                0.85578,                0.82353,                0.84703,                0.51023,                      0,                    inf,                      0,              0.0054625,              0.0054625,              0.0054625
                     57,                0.65069,                0.41295,                0.92357,                  0.928,                0.79412,                 0.8782,                0.50099,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                     58,                0.66595,                0.43622,                0.92979,                0.92586,                0.73529,                0.80689,                0.49082,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     59,                0.65574,                0.40455,                0.92726,                0.92692,                0.82353,                0.86721,                0.50885,                      0,                    inf,                      0,               0.005215,               0.005215,               0.005215
                     60,                0.63696,                0.41281,                0.92781,                0.89318,                0.76471,                0.87752,                0.52581,                      0,                    inf,                      0,              0.0051325,              0.0051325,              0.0051325
                     61,                0.61462,                0.38991,                0.90699,                0.95907,                0.76471,                 0.8939,                0.49272,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     62,                 0.6212,                 0.3936,                0.90991,                0.85659,                0.89706,                0.89575,                0.48519,                      0,                    inf,                      0,              0.0049675,              0.0049675,              0.0049675
                     63,                0.60223,                0.38389,                0.90332,                0.94713,                0.79041,                0.86221,                0.50206,                      0,                    inf,                      0,               0.004885,               0.004885,               0.004885
                     64,                0.61801,                0.40824,                0.91957,                0.94649,                0.80882,                0.89957,                0.52114,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                     65,                0.59311,                0.38318,                0.90445,                0.88846,                   0.82,                0.90971,                0.52688,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                     66,                0.56034,                 0.3696,                0.89032,                0.93238,                0.73529,                0.88413,                0.52018,                      0,                    inf,                      0,              0.0046375,              0.0046375,              0.0046375
                     67,                0.56214,                0.37448,                0.89334,                0.89788,                0.77585,                0.89322,                0.51405,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     68,                0.56978,                0.37552,                0.89672,                 0.8917,                0.76471,                0.85675,                0.50828,                      0,                    inf,                      0,              0.0044725,              0.0044725,              0.0044725
                     69,                0.56913,                0.36469,                0.89251,                 0.9001,                0.76471,                0.86955,                0.52401,                      0,                    inf,                      0,                0.00439,                0.00439,                0.00439
                     70,                0.54406,                0.36607,                0.88988,                0.92755,                0.75318,                0.88518,                0.53053,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
